date,close,open,high,low,change
2019-08-27,1212.74 ,1212.74 ,1216.38 ,1210.70 ,0.00%
2019-08-26,1212.74 ,1213.65 ,1221.50 ,1212.46 ,-0.08%
2019-08-23,1213.66 ,1211.28 ,1217.93 ,1207.56 ,0.27%
2019-08-22,1210.42 ,1202.49 ,1212.22 ,1202.49 ,0.66%
2019-08-21,1202.44 ,1206.40 ,1210.36 ,1199.50 ,-0.33%
2019-08-20,1206.40 ,1212.62 ,1214.30 ,1206.00 ,-0.51%
2019-08-19,1212.62 ,1208.49 ,1214.31 ,1208.49 ,0.34%
2019-08-16,1208.47 ,1213.33 ,1216.30 ,1205.50 ,-0.40%
2019-08-15,1213.33 ,1216.86 ,1219.76 ,1212.70 ,-0.29%
2019-08-14,1216.86 ,1206.64 ,1219.40 ,1206.20 ,0.85%
2019-08-13,1206.64 ,1219.14 ,1224.96 ,1206.01 ,-1.03%
2019-08-12,1219.14 ,1214.72 ,1221.14 ,1214.15 ,0.39%
2019-08-09,1214.45 ,1208.08 ,1217.48 ,1207.15 ,0.53%
2019-08-08,1208.08 ,1213.87 ,1216.60 ,1206.31 ,-0.41%
2019-08-07,1213.02 ,1212.58 ,1219.80 ,1211.14 ,-0.03%
2019-08-06,1213.43 ,1218.33 ,1221.13 ,1209.70 ,-0.40%
2019-08-05,1218.33 ,1205.82 ,1221.29 ,1203.00 ,1.14%
2019-08-02,1204.61 ,1195.48 ,1207.09 ,1190.90 ,0.69%
2019-08-01,1196.38 ,1188.32 ,1198.32 ,1186.48 ,0.68%
2019-07-31,1188.32 ,1182.04 ,1189.58 ,1180.33 ,0.59%
2019-07-30,1181.38 ,1182.94 ,1184.23 ,1178.63 ,-0.20%
2019-07-29,1183.71 ,1184.11 ,1186.51 ,1180.80 ,-0.04%
2019-07-26,1184.24 ,1184.16 ,1187.12 ,1181.80 ,0.01%
2019-07-25,1184.16 ,1178.41 ,1185.57 ,1177.80 ,0.49%
2019-07-24,1178.41 ,1179.90 ,1181.40 ,1176.60 ,-0.13%
2019-07-23,1179.89 ,1176.87 ,1181.10 ,1175.75 ,0.26%
2019-07-22,1176.87 ,1176.11 ,1179.90 ,1175.20 ,0.06%
2019-07-19,1176.11 ,1172.78 ,1177.02 ,1170.39 ,0.28%
2019-07-18,1172.78 ,1180.62 ,1184.52 ,1172.76 ,-0.66%
2019-07-17,1180.62 ,1179.70 ,1183.05 ,1177.90 ,0.08%
